2023-06-04 21:09:51,959 INFO    StreamThr :9461 [internal.py:wandb_internal():86] W&B internal server running at pid: 9461, started at: 2023-06-04 21:09:51.959692
2023-06-04 21:09:51,960 DEBUG   HandlerThread:9461 [handler.py:handle_request():144] handle_request: status
2023-06-04 21:09:51,961 INFO    WriterThread:9461 [datastore.py:open_for_write():85] open: /home/eykos/edu/mlops-zoomcamp/cohorts/2023/02-experiment-tracking/homework-wandb/wandb/run-20230604_210951-1k8ly5g4/run-1k8ly5g4.wandb
2023-06-04 21:09:51,961 DEBUG   SenderThread:9461 [sender.py:send():375] send: header
2023-06-04 21:09:51,963 DEBUG   SenderThread:9461 [sender.py:send():375] send: run
2023-06-04 21:09:52,479 INFO    SenderThread:9461 [dir_watcher.py:__init__():219] watching files in: /home/eykos/edu/mlops-zoomcamp/cohorts/2023/02-experiment-tracking/homework-wandb/wandb/run-20230604_210951-1k8ly5g4/files
2023-06-04 21:09:52,479 INFO    SenderThread:9461 [sender.py:_start_run_threads():1124] run started: 1k8ly5g4 with start time 1685930991.959874
2023-06-04 21:09:52,479 DEBUG   SenderThread:9461 [sender.py:send_request():402] send_request: summary_record
2023-06-04 21:09:52,479 DEBUG   HandlerThread:9461 [handler.py:handle_request():144] handle_request: check_version
2023-06-04 21:09:52,479 INFO    SenderThread:9461 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-04 21:09:52,480 DEBUG   SenderThread:9461 [sender.py:send_request():402] send_request: check_version
2023-06-04 21:09:52,766 DEBUG   HandlerThread:9461 [handler.py:handle_request():144] handle_request: run_start
2023-06-04 21:09:52,774 DEBUG   HandlerThread:9461 [system_info.py:__init__():31] System info init
2023-06-04 21:09:52,774 DEBUG   HandlerThread:9461 [system_info.py:__init__():46] System info init done
2023-06-04 21:09:52,774 INFO    HandlerThread:9461 [system_monitor.py:start():181] Starting system monitor
2023-06-04 21:09:52,774 INFO    SystemMonitor:9461 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-04 21:09:52,774 INFO    SystemMonitor:9461 [interfaces.py:start():190] Started cpu monitoring
2023-06-04 21:09:52,774 INFO    HandlerThread:9461 [system_monitor.py:probe():201] Collecting system info
2023-06-04 21:09:52,775 INFO    SystemMonitor:9461 [interfaces.py:start():190] Started disk monitoring
2023-06-04 21:09:52,775 INFO    SystemMonitor:9461 [interfaces.py:start():190] Started gpu monitoring
2023-06-04 21:09:52,775 INFO    SystemMonitor:9461 [interfaces.py:start():190] Started memory monitoring
2023-06-04 21:09:52,776 INFO    SystemMonitor:9461 [interfaces.py:start():190] Started network monitoring
2023-06-04 21:09:52,783 DEBUG   HandlerThread:9461 [system_info.py:probe():195] Probing system
2023-06-04 21:09:52,785 DEBUG   HandlerThread:9461 [system_info.py:_probe_git():180] Probing git
2023-06-04 21:09:52,789 DEBUG   HandlerThread:9461 [system_info.py:_probe_git():188] Probing git done
2023-06-04 21:09:52,789 DEBUG   HandlerThread:9461 [system_info.py:probe():240] Probing system done
