2023-06-04 21:26:13,491 INFO    StreamThr :11916 [internal.py:wandb_internal():86] W&B internal server running at pid: 11916, started at: 2023-06-04 21:26:13.491075
2023-06-04 21:26:13,491 DEBUG   HandlerThread:11916 [handler.py:handle_request():144] handle_request: status
2023-06-04 21:26:13,492 INFO    WriterThread:11916 [datastore.py:open_for_write():85] open: /home/eykos/edu/mlops-zoomcamp/cohorts/2023/02-experiment-tracking/homework-wandb/wandb/run-20230604_212613-4kdif0bi/run-4kdif0bi.wandb
2023-06-04 21:26:13,492 DEBUG   SenderThread:11916 [sender.py:send():375] send: header
2023-06-04 21:26:13,494 DEBUG   SenderThread:11916 [sender.py:send():375] send: run
2023-06-04 21:26:13,983 DEBUG   HandlerThread:11916 [handler.py:handle_request():144] handle_request: check_version
2023-06-04 21:26:13,983 INFO    SenderThread:11916 [dir_watcher.py:__init__():219] watching files in: /home/eykos/edu/mlops-zoomcamp/cohorts/2023/02-experiment-tracking/homework-wandb/wandb/run-20230604_212613-4kdif0bi/files
2023-06-04 21:26:13,983 INFO    SenderThread:11916 [sender.py:_start_run_threads():1124] run started: 4kdif0bi with start time 1685931973.491402
2023-06-04 21:26:13,983 DEBUG   SenderThread:11916 [sender.py:send_request():402] send_request: summary_record
2023-06-04 21:26:13,983 INFO    SenderThread:11916 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-06-04 21:26:13,983 DEBUG   SenderThread:11916 [sender.py:send_request():402] send_request: check_version
2023-06-04 21:26:14,271 DEBUG   HandlerThread:11916 [handler.py:handle_request():144] handle_request: run_start
2023-06-04 21:26:14,279 DEBUG   HandlerThread:11916 [system_info.py:__init__():31] System info init
2023-06-04 21:26:14,279 DEBUG   HandlerThread:11916 [system_info.py:__init__():46] System info init done
2023-06-04 21:26:14,279 INFO    HandlerThread:11916 [system_monitor.py:start():181] Starting system monitor
2023-06-04 21:26:14,279 INFO    SystemMonitor:11916 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-06-04 21:26:14,280 INFO    SystemMonitor:11916 [interfaces.py:start():190] Started cpu monitoring
2023-06-04 21:26:14,280 INFO    HandlerThread:11916 [system_monitor.py:probe():201] Collecting system info
2023-06-04 21:26:14,280 INFO    SystemMonitor:11916 [interfaces.py:start():190] Started disk monitoring
2023-06-04 21:26:14,281 INFO    SystemMonitor:11916 [interfaces.py:start():190] Started gpu monitoring
2023-06-04 21:26:14,281 INFO    SystemMonitor:11916 [interfaces.py:start():190] Started memory monitoring
2023-06-04 21:26:14,281 INFO    SystemMonitor:11916 [interfaces.py:start():190] Started network monitoring
2023-06-04 21:26:14,289 DEBUG   HandlerThread:11916 [system_info.py:probe():195] Probing system
2023-06-04 21:26:14,290 DEBUG   HandlerThread:11916 [system_info.py:_probe_git():180] Probing git
2023-06-04 21:26:14,293 DEBUG   HandlerThread:11916 [system_info.py:_probe_git():188] Probing git done
2023-06-04 21:26:14,293 DEBUG   HandlerThread:11916 [system_info.py:probe():240] Probing system done
